Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
Kazakhstan,0.015,49.0516561,8529,18291990619,52,0.038,0,0.119,71,0,14883626,0
"Korea, Dem. Rep.",0.018,49.0516561,76699,15493320082,193,0.045,0.1,0.119,69,0.5,22840225,1
"Korea, Rep.",0.013,49.0516561,8529,15493320082,491,0.005,0.4,0.085,80,0.6,47008111,2
Kyrgyz Republic,0.02,49.0516561,4529,1369691955,13,0.042,0,0.119,72,0,4898400,0
Lao PDR,0.031,49.0516561,972,1731198022,11,0.083,0,0.119,63,0,5388281,0
"Macao SAR, China",0.009,49.0516561,1635,6101794939,193,0.02,0.1,0.099,80,0.3,431907,2
Malaysia,0.023,49.0516561,8529,93789473684,120,0.009,0.2,0.077,75,0.2,23420751,1
Maldives,0.025,49.0516561,499,624337144,162,0.035,0,0.13,70,0,272745,0
Mongolia,0.019,49.0516561,7506,1136896162,22,0.049,0,0.119,66,0.1,2397473,0
Myanmar,0.021,49.0516561,10088,15493320082,3,0.059,0.1,0.153,64,0,48453000,0
Nepal,0.033,49.0516561,3234,5494252208,12,0.06,0,0.095,63,0,23184177,0
Pakistan,0.031,49.0516561,8529,73952374970,15,0.088,0.1,0.119,65,0,5971526,0
Philippines,0.03,49.0516561,73307,81026294681,33,0.03,0,0.109,70,0.1,5971526,1
Singapore,0.012,49.0516561,49006,95835970989,662,0.003,0.4,0.058,80,0.7,4027900,1
Sri Lanka,0.018,49.0516561,10161,16330810304,32,0.014,0,0.162,75,0,19102000,0
Tajikistan,0.03,49.0516561,2237,860550294,6,0.075,0,0.119,68,0,6186152,0
Thailand,0.015,49.0516561,8529,1.22725E+11,67,0.019,0,0.078,75,0,5971526,1
Timor-Leste,0.043,49.0516561,8529,350100000,19,0.084,0.1,0.119,61,0.5,853585,0
Turkmenistan,0.024,49.0516561,35365,2904662605,44,0.066,0,0.119,68,0,4501419,0
Uzbekistan,0.021,49.0516561,8529,13760374488,29,0.053,0,0.119,70,0,24650400,0
Vietnam,0.017,49.0516561,53645,33640085728,20,0.027,0,0.106,78,0,5971526,1
Albania,0.019,49.0516561,3022,3686649387,70,0.023,0,0.221,77,0,3089027,2
Andorra,0.011,49.0516561,524,1133644295,193,0.004,0.1,0.119,75,0.4,65399,2
Austria,0.01,49.0516561,63696,1.92071E+11,193,0.005,0.3,0.119,81,0.8,8011566,1
Belarus,0.009,49.0516561,53469,12736856485,64,0.011,0,0.119,75,0,10005000,2
Belgium,0.011,49.0516561,8529,15493320082,193,0.005,0.3,0.08,81,0.5,10251250,2
Bosnia and Herzegovina,0.01,49.0516561,23223,5505984456,103,0.008,0,0.119,77,0,3834364,2
Bulgaria,0.009,49.0516561,43531,12903546765,98,0.018,0.1,0.113,75,0.1,8170172,2
Croatia,0.01,49.0516561,19644,21517784659,377,0.007,0.1,0.121,77,0.2,4426000,2
Cyprus,0.013,49.0516561,6850,9314937556,744,0.006,0.2,0.08,80,0.2,943287,2
Czech Republic,0.009,49.0516561,8529,58807244368,361,0.006,0.1,0.072,78,0.4,10255063,1
Denmark,0.013,49.0516561,47260,1.60083E+11,193,0.005,0.4,0.081,79,0.6,5339616,1
Estonia,0.01,49.0516561,15181,5675697575,213,0.009,0.3,0.074,76,0.4,1396985,2
Faeroe Islands,0.02,49.0516561,711,1062339944,193,0.02,0.3,0.119,82,0.4,46491,2
Finland,0.011,49.0516561,52141,1.21794E+11,193,0.004,0.4,0.056,81,0.7,5176209,1
France,0.013,49.0516561,8529,15493320082,193,0.004,0.1,0.067,83,0.5,5971526,2
Germany,0.009,49.0516561,8529,15493320082,193,0.004,0.3,0.096,81,0.6,5971526,2
Greece,0.01,49.0516561,91616,1.24418E+11,918,0.007,0.1,0.123,81,0.5,10917482,1
Hungary,0.01,49.0516561,57238,46385589534,326,0.01,0.1,0.126,76,0.3,10210971,1
Iceland,0.014,49.0516561,2164,8697298234,193,0.003,0.4,0.168,82,0.8,281205,2
Ireland,0.014,49.0516561,41345,97331522066,193,0.006,0.2,0.048,79,0.6,3805174,1
Isle of Man,0.02,49.0516561,8529,1563667800,193,0.02,0.1,0.119,75,0.5,76806,2
Italy,0.01,49.0516561,8529,15493320082,193,0.005,0.2,0.07,83,0.7,5971526,2
Latvia,0.009,49.0516561,6241,7833068425,197,0.015,0.1,0.119,76,0.2,2367550,2
Liechtenstein,0.013,49.0516561,8529,2483890594,193,0.02,0.4,0.119,80,0.3,33093,2
Lithuania,0.01,49.0516561,12200,11434200000,212,0.01,0.1,0.121,78,0.2,3499536,2
Luxembourg,0.013,49.0516561,8240,20267551133,193,0.004,0.2,0.119,81,0.7,436300,2
"Macedonia, FYR",0.013,49.0516561,12064,3586883989,153,0.014,0,0.189,76,0.1,2052129,2
Malta,0.012,49.0516561,2065,3957418083,643,0.007,0.1,0.073,80,0.3,381363,2
