Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
Armenia,0.014,49.0516561,3429,2807061009,51,0.023,0,0.208,76,0,3036032,2
Azerbaijan,0.014,49.0516561,30616,7275766111,57,0.05,0.1,0.155,71,0.1,8234100,2
Bangladesh,0.025,49.0516561,33883,51913661485,11,0.056,0,0.16,67,0,5971526,0
Bhutan,0.025,49.0516561,378,622026107,51,0.051,0,0.15,63,0,616383,0
Brunei Darussalam,0.021,49.0516561,5357,6557333067,575,0.008,0.2,0.055,79,0.5,353649,2
Cambodia,0.026,49.0516561,2380,4658246907,26,0.063,0,0.119,68,0,12934369,0
China,0.012,49.0516561,8529,15493320082,61,0.024,0.1,0.053,75,0.2,5971526,2
Georgia,0.012,49.0516561,3773,3991374540,74,0.026,0,0.119,76,0.2,4328900,2
"Hong Kong SAR, China",0.007,49.0516561,40066,1.61385E+11,193,0.02,0.5,0.05,84,1.1,6730800,1
India,0.024,49.0516561,8529,15493320082,24,0.06,0,0.115,65,0,5971526,0
Indonesia,0.021,49.0516561,8529,15493320082,27,0.036,0,0.169,70,0.1,5971526,0
Japan,0.009,49.0516561,8529,15493320082,193,0.003,0.5,0.018,85,0.7,5971526,2
Kazakhstan,0.017,49.0516561,8529,30833692831,77,0.032,0,0.119,72,0.1,14909018,1
"Korea, Dem. Rep.",0.016,49.0516561,77777,15493320082,193,0.03,0.1,0.119,71,0.5,23449180,1
"Korea, Rep.",0.01,49.0516561,8529,15493320082,695,0.005,0.7,0.062,81,0.7,47859311,2
Kyrgyz Republic,0.021,49.0516561,5328,1919012781,21,0.037,0,0.191,72,0,5043300,0
Lao PDR,0.029,49.0516561,1129,2023324407,18,0.075,0,0.119,65,0,5619069,0
"Macao SAR, China",0.008,49.0516561,1536,7926373572,193,0.02,0.3,0.06,81,0.8,450711,2
Malaysia,0.02,49.0516561,8529,1.10202E+11,172,0.007,0.4,0.063,76,0.4,24890654,1
Maldives,0.022,49.0516561,598,949867662,199,0.025,0.1,0.14,74,0.2,287594,0
Mongolia,0.019,49.0516561,8034,1595297301,48,0.042,0.1,0.119,68,0.1,2468595,0
Myanmar,0.02,49.0516561,9846,15493320082,4,0.054,0,0.15,65,0,5971526,0
Nepal,0.03,49.0516561,2952,6330476435,14,0.052,0,0.074,65,0,24525527,0
Pakistan,0.029,49.0516561,8529,83244801093,16,0.083,0.1,0.119,65,0,5971526,0
Philippines,0.028,49.0516561,71532,83908205720,33,0.029,0,0.095,71,0.3,5971526,1
Singapore,0.011,49.0516561,31133,97002305536,823,0.003,0.5,0.053,82,0.8,4114800,1
Sri Lanka,0.019,49.0516561,10660,18881765437,38,0.013,0,0.103,77,0.1,19173000,2
Tajikistan,0.029,49.0516561,2076,1554125543,11,0.061,0,0.167,69,0,6529609,0
Thailand,0.013,49.0516561,8529,1.4264E+11,79,0.017,0.1,0.059,75,0.3,5971526,1
Timor-Leste,0.039,49.0516561,161,436500000,24,0.072,0.1,0.167,63,0,933369,0
Turkmenistan,0.023,49.0516561,42215,5977440583,95,0.062,0,0.119,68,0,4648037,0
Uzbekistan,0.02,49.0516561,8529,10128112401,20,0.049,0,0.119,71,0,25567650,0
Vietnam,0.017,49.0516561,78767,42717072778,25,0.025,0,0.095,79,0,5971526,1
Albania,0.016,49.0516561,4294,5652325082,108,0.02,0,0.143,79,0.3,3033659,2
Andorra,0.01,49.0516561,535,1917948475,193,0.003,0.1,0.119,75,0.7,75643,2
Austria,0.01,49.0516561,72317,15493320082,193,0.004,0.4,0.119,82,0.9,8121423,1
Belarus,0.009,49.0516561,53722,17825436035,120,0.009,0.1,0.119,75,0.1,9797000,2
Belgium,0.011,49.0516561,8529,15493320082,193,0.004,0.5,0.069,81,0.8,10376133,2
Bosnia and Herzegovina,0.009,49.0516561,23238,8370020196,174,0.007,0,0.109,78,0.3,3895779,2
Bulgaria,0.009,49.0516561,47308,20668176834,201,0.016,0.1,0.085,76,0.4,7823557,1
Croatia,0.009,49.0516561,23542,34143409062,495,0.006,0.2,0.116,78,0.6,4440000,1
Cyprus,0.012,49.0516561,7748,13319544758,1235,0.005,0.3,0.069,81,0.6,998142,2
Czech Republic,0.009,49.0516561,8529,95292530753,666,0.005,0.3,0.059,79,1,10193998,1
Denmark,0.012,49.0516561,55735,2.12622E+11,193,0.004,0.8,0.119,80,0.9,5390574,1
Estonia,0.01,49.0516561,17052,9845187817,352,0.007,0.5,0.055,77,0.8,1370720,2
Faeroe Islands,0.02,49.0516561,777,1486861879,193,0.02,0.6,0.119,82,0.8,48308,2
Finland,0.011,49.0516561,68888,1.64256E+11,193,0.003,0.7,0.041,82,0.9,5213014,1
France,0.013,49.0516561,8529,15493320082,193,0.004,0.4,0.066,83,0.7,5971526,2
Germany,0.009,49.0516561,8529,15493320082,193,0.004,0.6,0.119,81,0.8,5971526,2
Greece,0.01,49.0516561,95738,1.9285E+11,193,0.006,0.2,0.068,81,0.8,11018324,1
Hungary,0.009,49.0516561,59072,83538373061,706,0.008,0.2,0.096,77,0.8,10129552,1
Iceland,0.014,49.0516561,2167,10969898924,193,0.003,0.8,0.12,83,1,289521,2
Ireland,0.015,49.0516561,43337,1.5873E+11,193,0.005,0.3,0.028,81,0.9,3996521,1
Isle of Man,0.02,49.0516561,8529,2264911807,193,0.02,0.1,0.119,75,0.5,79001,2
Italy,0.009,49.0516561,8529,15493320082,193,0.004,0.3,0.058,83,1,5971526,2
Latvia,0.009,49.0516561,7088,11186452601,295,0.012,0.3,0.054,77,0.5,2287955,2
Liechtenstein,0.01,49.0516561,8529,3070803431,193,0.02,0.6,0.119,82,0.7,34141,2
Lithuania,0.009,49.0516561,12915,18608709857,351,0.009,0.3,0.058,78,0.6,3415213,2
Luxembourg,0.012,49.0516561,9905,29144582393,193,0.003,0.5,0.119,81,1.2,451630,2
"Macedonia, FYR",0.012,49.0516561,11309,4756221629,212,0.013,0.2,0.16,76,0.4,2080866,2
Malta,0.01,49.0516561,2582,5119621569,1074,0.006,0.3,0.059,81,0.7,398582,2
Moldova,0.012,49.0516561,4290,1980901554,46,0.021,0.1,0.193,72,0.1,3612874,2
Monaco,0.02,49.0516561,8529,3588988601,193,0.004,0.5,0.119,75,0.5,32968,2
Montenegro,0.013,49.0516561,8529,1707662608,254,0.011,0.1,0.119,76,0.5,613448,2
Netherlands,0.012,49.0516561,8529,15493320082,193,0.005,0.6,0.03,81,0.8,16225302,2
Norway,0.012,49.0516561,42625,2.24881E+11,193,0.004,0.8,0.047,82,0.9,4564855,1
Poland,0.009,49.0516561,8529,2.16801E+11,354,0.007,0.2,0.073,79,0.5,38204570,1
Portugal,0.011,49.0516561,61276,1.61932E+11,193,0.004,0.3,0.119,81,1,10458821,1
Romania,0.01,49.0516561,95940,59466017706,146,0.021,0.1,0.119,75,0.3,21574326,1
Russian Federation,0.01,49.0516561,8529,15493320082,167,0.017,0.1,0.13,72,0.2,5971526,2
San Marino,0.02,49.0516561,8529,1122981525,193,0.004,0.5,0.075,85,0.6,28700,2
Serbia,0.011,49.0516561,8529,19550781969,171,0.009,0.1,0.155,75,0.5,7480591,2
Slovak Republic,0.01,49.0516561,39494,45837416479,360,0.009,0.4,0.085,78,0.7,5373374,2
Slovenia,0.009,49.0516561,15500,29152072068,1263,0.004,0.3,0.108,81,0.9,1995733,2
Spain,0.01,49.0516561,8529,15493320082,193,0.005,0.4,0.119,83,0.9,42187645,2
Sweden,0.011,49.0516561,54781,15493320082,193,0.003,0.8,0.048,82,1,8958229,2
Switzerland,0.01,49.0516561,40205,15493320082,193,0.004,0.7,0.033,83,0.8,7339001,2
Turkey,0.02,49.0516561,8529,15493320082,232,0.029,0.1,0.119,75,0.4,5971526,2
Ukraine,0.009,49.0516561,8529,50132953288,73,0.014,0,0.179,74,0.1,47812950,1
United Kingdom,0.012,49.0516561,8529,15493320082,193,0.005,0.6,0.037,81,0.9,5971526,2
Bahrain,0.02,49.0516561,16468,11075116594,536,0.01,0.2,0.083,76,0.6,772058,2
"Iran, Islamic Rep.",0.018,49.0516561,8529,1.3541E+11,97,0.024,0.1,0.119,72,0.1,5971526,2
Iraq,0.035,49.0516561,91118,15493320082,16,0.034,0,0.119,73,0,25959531,0
Israel,0.022,49.0516561,65122,1.18673E+11,193,0.005,0.2,0.106,82,1,6689700,1
Jordan,0.03,49.0516561,17470,10193023726,187,0.022,0.1,0.093,74,0.3,5164000,2
Kuwait,0.022,49.0516561,61657,47875837662,728,0.01,0.2,0.054,75,0.7,2116353,1
Lebanon,0.016,49.0516561,18221,20082918740,498,0.014,0.1,0.134,78,0.2,3690110,2
Oman,0.022,49.0516561,32391,21542262852,294,0.012,0.1,0.082,76,0.2,2389121,2
Qatar,0.017,49.0516561,36157,23533790531,193,0.01,0.2,0.119,78,0.6,660238,2
Saudi Arabia,0.024,49.0516561,8529,2.14573E+11,384,0.018,0.1,0.119,75,0.3,22852333,1
Syrian Arab Republic,0.028,49.0516561,54286,21828144686,60,0.018,0,0.075,76,0.1,17298476,0
United Arab Emirates,0.016,49.0516561,8529,1.24346E+11,968,0.009,0.3,0.119,76,0.9,3369254,1
"Yemen, Rep.",0.037,49.0516561,17305,11777768087,35,0.061,0,0.18,63,0,19081306,0
American Samoa,0.02,49.0516561,8529,15493320082,193,0.02,0.1,0.119,75,0,59117,2
Australia,0.013,49.0516561,8529,15493320082,193,0.005,0.1,0.084,83,0.7,19895400,2
Fiji,0.024,49.0516561,862,2315935753,95,0.02,0.1,0.076,71,0.1,817224,0
French Polynesia,0.019,49.0516561,799,15493320082,193,0.02,0.1,0.119,76,0.2,248536,2
Guam,0.02,49.0516561,8529,15493320082,193,0.02,0.3,0.119,79,0.5,157823,2
Kiribati,0.026,49.0516561,40,90148518,103,0.051,0,0.119,69,0,87371,0
Marshall Islands,0.02,49.0516561,84,126887585,411,0.033,0,0.119,75,0,52115,2
"Micronesia, Fed. Sts.",0.028,49.0516561,147,244990984,218,0.039,0.1,0.15,68,0.1,106816,0
New Caledonia,0.018,49.0516561,2750,15493320082,193,0.02,0.3,0.119,79,0.4,225735,2
New Zealand,0.014,49.0516561,33938,87440435752,193,0.006,0.6,0.07,81,0.6,4027200,1
Papua New Guinea,0.034,49.0516561,3968,3536459120,25,0.057,0,0.134,62,0,5803302,0
Samoa,0.03,49.0516561,150,301905953,93,0.017,0,0.113,74,0.1,177677,0
Solomon Islands,0.035,49.0516561,180,332736307,45,0.029,0,0.147,66,0,446335,0
Tonga,0.029,49.0516561,176,208098552,106,0.014,0,0.113,74,0.1,99691,0
Vanuatu,0.031,49.0516561,81,314463144,58,0.018,0,0.059,71,0,198952,0
Antigua and Barbuda,0.019,49.0516561,389,849234754,457,0.012,0.2,0.128,77,0.6,80904,2
Argentina,0.018,49.0516561,8529,1.56989E+11,280,0.017,0.1,0.191,78,0.2,37970411,1
Aruba,0.013,49.0516561,2255,2021301676,193,0.02,0.2,0.115,76,0.7,97015,2
"Bahamas, The",0.016,49.0516561,1518,6949317000,1237,0.013,0.2,0.06,76,0.4,315624,2
Barbados,0.013,49.0516561,1269,3271200000,702,0.015,0.4,0.085,76,0.5,270844,2
Belize,0.028,49.0516561,374,990350000,174,0.019,0.1,0.143,75,0.2,258346,0
Bermuda,0.013,49.0516561,510,4186525000,193,0.02,0.6,0.119,81,0.6,63325,2
Bolivia,0.03,49.0516561,14129,8082396526,50,0.049,0,0.177,66,0.1,9016787,0
Brazil,0.019,49.0516561,8529,15493320082,214,0.024,0.1,0.119,75,0.3,5971526,1
Canada,0.011,49.0516561,8529,15493320082,193,0.005,0.6,0.047,82,0.4,31676000,2
Cayman Islands,0.02,49.0516561,480,15493320082,193,0.02,0.1,0.119,75,0.5,46032,2
Chile,0.016,49.0516561,55078,77840186385,338,0.008,0.3,0.062,81,0.5,15995658,1
Colombia,0.022,49.0516561,57422,94684582573,134,0.02,0.1,0.152,76,0.1,41872051,1
Costa Rica,0.018,49.0516561,6626,17517536016,343,0.009,0.2,0.119,81,0.2,4171145,2
Cuba,0.012,49.0516561,25486,35901500000,202,0.006,0.1,0.119,79,0,11245926,2
Curacao,0.02,49.0516561,8529,15493320082,193,0.02,0.1,0.119,75,0.5,131253,2
Dominica,0.02,49.0516561,114,340803913,240,0.013,0.2,0.115,75,0.3,70058,2
Dominican Republic,0.024,49.0516561,21888,21268012747,143,0.031,0.1,0.119,74,0.2,9071318,2
Ecuador,0.024,49.0516561,26523,32432859000,164,0.026,0,0.136,77,0.2,13279806,2
El Salvador,0.022,49.0516561,6553,15046700000,182,0.023,0,0.119,75,0.2,6029366,2
Greenland,0.016,49.0516561,532,1426452030,193,0.02,0.5,0.119,71,0.5,56765,2
Grenada,0.019,49.0516561,216,596339089,359,0.013,0.2,0.12,73,0.4,102369,2
Guatemala,0.035,49.0516561,10502,21917565500,116,0.036,0,0.15,73,0.2,12062835,0
Guyana,0.022,49.0516561,1566,741929343,55,0.037,0.1,0.15,68,0.2,753612,0
Haiti,0.03,49.0516561,1734,2826481072,17,0.069,0,0.119,60,0,8996229,0
Honduras,0.03,49.0516561,6769,8140294080,103,0.028,0,0.208,74,0.1,6628171,0
Jamaica,0.017,49.0516561,10722,9430236065,162,0.019,0.1,0.189,74,0.6,2624695,2
Mexico,0.023,49.0516561,8529,15493320082,397,0.018,0.1,0.07,78,0.3,5971526,2
Nicaragua,0.026,49.0516561,4411,5322437648,61,0.029,0,0.155,74,0.1,5317878,0
Panama,0.023,49.0516561,6153,12933200000,303,0.02,0.1,0.099,78,0.2,3240805,2
Paraguay,0.027,49.0516561,4070,6588103836,71,0.025,0,0.119,73,0.3,5682350,0
Peru,0.023,49.0516561,26380,57840001637,102,0.025,0.1,0.21,74,0.1,27073334,0
Puerto Rico,0.013,49.0516561,8529,75833996000,193,0.02,0.2,0.119,82,0.5,3826095,1
Sint Maarten (Dutch part),0.02,49.0516561,8529,15493320082,193,0.02,0.1,0.119,75,0.5,33791,2
St. Kitts and Nevis,0.02,49.0516561,220,461576906,359,0.012,0.2,0.122,75,0.5,47679,2
St. Lucia,0.018,49.0516561,359,781338353,299,0.015,0.2,0.15,74,0.6,161766,2
St. Vincent and the Grenadines,0.019,49.0516561,194,482397041,174,0.019,0.1,0.118,73,0.6,108353,2
Suriname,0.021,49.0516561,2241,1271196078,173,0.028,0,0.21,72,0.3,486867,2
Trinidad and Tobago,0.015,49.0516561,27697,11235960523,449,0.025,0.3,0.112,73,0.3,1283868,2
Turks and Caicos Islands,0.02,49.0516561,103,15493320082,193,0.02,0.1,0.119,75,0.5,23412,2
United States,0.014,49.0516561,8529,15493320082,193,0.007,0.6,0.041,80,0.5,5971526,2
Uruguay,0.016,49.0516561,4598,12045627411,351,0.013,0.2,0.119,79,0.2,3325411,2
"Venezuela, RB",0.023,49.0516561,8529,83622191419,190,0.017,0.1,0.119,76,0.3,25797219,1
Virgin Islands (U.S.),0.014,49.0516561,8529,15493320082,193,0.02,0.3,0.119,81,0.5,108085,2
Algeria,0.02,49.0516561,89493,85324997370,90,0.03,0,0.08,71,0.1,33461345,1
Angola,0.05,49.0516561,18793,19640862550,63,0.02,0,0.119,49,0,15976715,0
Benin,0.041,49.0516561,2512,4050869968,23,0.078,0,0.119,58,0.1,7922796,0
Botswana,0.026,49.0516561,4378,8957491785,268,0.046,0,0.158,48,0.3,1854739,0
Burkina Faso,0.045,49.0516561,1104,4838551014,24,0.089,0,0.119,53,0,13034258,0
Burundi,0.043,49.0516561,198,915257323,9,0.079,0,0.183,51,0,7510771,0
Cameroon,0.041,49.0516561,3957,15775356737,41,0.081,0,0.18,53,0.1,17674960,0
Central African Republic,0.038,49.0516561,213,1270080228,14,0.02,0,0.18,46,0,3893595,0
Chad,0.05,49.0516561,378,4414929142,23,0.102,0,0.18,48,0,9665024,0
Comoros,0.039,49.0516561,103,362420484,25,0.071,0,0.11,60,0,585389,0
"Congo, Dem. Rep.",0.046,49.0516561,1936,10297481118,7,0.108,0,0.119,49,0,5971526,0
"Congo, Rep.",0.039,49.0516561,1181,4648628839,34,0.066,0,0.18,55,0.1,3448868,0
Cote d'Ivoire,0.037,49.0516561,7664,15481092596,50,0.091,0,0.119,48,0.1,17144325,0
Djibouti,0.029,49.0516561,458,666072102,57,0.073,0,0.112,59,0,765776,0
"Egypt, Arab Rep.",0.024,49.0516561,8529,78845185709,57,0.027,0.1,0.134,72,0.1,5971526,1
Equatorial Guinea,0.038,49.0516561,5218,4410764261,191,0.089,0,0.18,50,0.1,585983,0
Eritrea,0.04,49.0516561,770,1109054002,7,0.049,0.1,0.119,60,0,4665522,0
Ethiopia,0.04,49.0516561,5244,9945571030,6,0.074,0,0.07,56,0,5971526,0
Gabon,0.033,49.0516561,1767,7178135606,180,0.052,0,0.18,61,0.4,1347125,0
"Gambia, The",0.044,49.0516561,323,578785601,18,0.058,0,0.119,58,0.1,1391934,0
Ghana,0.034,49.0516561,7349,8881419348,26,0.059,0,0.119,59,0.1,20835514,0
Guinea,0.04,49.0516561,1342,3666349049,20,0.088,0,0.119,52,0,9379621,0
Guinea-Bissau,0.04,49.0516561,202,522651788,20,0.099,0,0.119,53,0,1390791,0
Kenya,0.039,49.0516561,7624,16095321631,20,0.063,0,0.125,55,0.1,34834606,0
Lesotho,0.029,49.0516561,8529,1234197704,45,0.084,0,0.124,44,0.1,1912022,0
Liberia,0.041,49.0516561,627,467000000,13,0.09,0,0.181,55,0,3184643,0
Libya,0.023,49.0516561,50359,33384615385,205,0.021,0,0.061,75,0.1,5507000,2
Madagascar,0.038,49.0516561,1808,4363934417,12,0.058,0,0.119,62,0,17763367,0
Malawi,0.043,49.0516561,975,2625127098,16,0.078,0,0.119,48,0,12569091,0
Mali,0.048,49.0516561,565,4874178417,27,0.101,0,0.119,51,0,11572936,0
Mauritania,0.037,49.0516561,1632,1833445283,28,0.075,0,0.21,62,0.2,3055425,0
Mauritius,0.016,49.0516561,3194,6385691315,227,0.014,0.1,0.21,76,0.5,1233386,2
Morocco,0.02,49.0516561,43311,56948015336,99,0.037,0.1,0.115,71,0.3,29855820,1
Mozambique,0.044,49.0516561,1922,5697991241,16,0.095,0,0.221,49,0,20438827,0
Namibia,0.03,49.0516561,1962,6606866450,213,0.048,0,0.114,57,0.1,2003320,0
Niger,0.052,49.0516561,964,3052898686,16,0.086,0,0.119,53,0,12708897,0
Nigeria,0.043,49.0516561,97047,87845403978,45,0.1,0,0.192,49,0.1,5971526,0
Rwanda,0.039,49.0516561,689,2089188921,13,0.075,0,0.165,55,0,9254379,0
Sao Tome and Principe,0.038,49.0516561,73,110723362,79,0.05,0.1,0.119,66,0.1,150842,0
Senegal,0.039,49.0516561,5280,8031344240,42,0.059,0,0.119,62,0.1,10967568,0
Seychelles,0.017,49.0516561,744,839319935,421,0.012,0.2,0.1,76,0.6,82500,2
Sierra Leone,0.042,49.0516561,642,1431208677,45,0.02,0,0.221,42,0.5,4928175,0
Somalia,0.047,49.0516561,576,15493320082,193,0.105,0,0.119,54,0.1,8249965,0
South Africa,0.023,49.0516561,8529,2.19093E+11,410,0.052,0.1,0.113,53,0.4,47019452,1
South Sudan,0.04,49.0516561,8529,15493320082,193,0.091,0.1,0.119,52,0.5,7730180,0
Sudan,0.038,49.0516561,11382,21457886199,29,0.063,0,0.119,61,0,30778572,0
Swaziland,0.032,49.0516561,1030,2420610579,130,0.082,0,0.113,46,0.1,1094758,0
Tanzania,0.042,49.0516561,4353,12825801917,12,0.061,0,0.141,53,0.1,37765139,0
Togo,0.038,49.0516561,1397,1937074538,21,0.07,0,0.119,55,0.1,5397851,0
Tunisia,0.017,49.0516561,22446,31183139301,179,0.021,0.1,0.119,75,0.4,9932400,2
Uganda,0.047,49.0516561,1852,7940362663,24,0.073,0,0.206,52,0,27766986,0
Zambia,0.044,49.0516561,2131,5439176376,33,0.081,0,0.119,46,0,11174650,0
Zimbabwe,0.032,49.0516561,9927,5805598443,193,0.058,0.1,0.119,43,0,12693047,0
Afghanistan,0.046,49.0516561,733,5285461999,19,0.086,0,0.119,58,0,24018682,0
Armenia,0.014,49.0516561,3645,3576615240,65,0.022,0,0.186,76,0.1,3025652,2
Azerbaijan,0.016,49.0516561,32090,8680511918,81,0.047,0.1,0.157,71,0.2,8306500,2
Bangladesh,0.024,49.0516561,39750,56560744012,12,0.053,0,0.148,68,0,5971526,0
Bhutan,0.024,49.0516561,308,702682018,49,0.048,0,0.15,63,0,633893,0
Brunei Darussalam,0.02,49.0516561,5361,7872333197,658,0.008,0.3,0.055,79,0.6,360797,2
Cambodia,0.026,49.0516561,2446,5337833256,29,0.057,0,0.119,69,0.1,13149386,0
China,0.012,49.0516561,8529,15493320082,70,0.022,0.1,0.056,75,0.3,5971526,2
Georgia,0.012,49.0516561,4323,5125273877,97,0.024,0,0.221,76,0.2,4318300,2
"Hong Kong SAR, China",0.007,49.0516561,38415,1.691E+11,193,0.02,0.6,0.05,85,1.2,6783500,1
India,0.024,49.0516561,8529,15493320082,29,0.058,0,0.109,65,0,5971526,0
Indonesia,0.021,49.0516561,8529,15493320082,27,0.035,0,0.141,71,0.1,5971526,2
Japan,0.009,49.0516561,8529,15493320082,193,0.003,0.6,0.018,86,0.7,5971526,2
Kazakhstan,0.018,49.0516561,8529,43151647003,114,0.03,0,0.119,72,0.2,15012985,2
"Korea, Dem. Rep.",0.016,49.0516561,79482,15493320082,193,0.028,0.1,0.119,72,0.5,23639303,1
"Korea, Rep.",0.01,49.0516561,8529,15493320082,784,0.005,0.7,0.059,81,0.8,48039415,2
Kyrgyz Republic,0.022,49.0516561,5699,2211535312,25,0.036,0.1,0.119,72,0.1,5104700,0
Lao PDR,0.028,49.0516561,1423,2366398120,19,0.073,0,0.119,65,0,5699112,0
"Macao SAR, China",0.008,49.0516561,1727,10258324479,193,0.02,0.3,0.06,81,0.9,458542,2
Malaysia,0.019,49.0516561,8529,1.2475E+11,181,0.007,0.4,0.06,76,0.6,25365089,1
Maldives,0.021,49.0516561,777,1075605492,217,0.022,0.1,0.13,75,0.4,292505,2
Mongolia,0.02,49.0516561,8551,1992066759,56,0.039,0.1,0.119,69,0.2,2496248,2
Myanmar,0.019,49.0516561,12435,15493320082,5,0.052,0,0.15,65,0,5971526,0
Nepal,0.029,49.0516561,2769,7273933993,17,0.049,0,0.085,65,0,24921910,0
Pakistan,0.028,49.0516561,8529,97977766198,18,0.082,0.1,0.073,66,0,5971526,0
Philippines,0.028,49.0516561,74066,91371236939,35,0.028,0.1,0.101,71,0.4,5971526,1
Singapore,0.01,49.0516561,28474,1.14187E+11,826,0.002,0.6,0.053,82,0.9,4166700,1
Sri Lanka,0.019,49.0516561,11965,20662525941,44,0.012,0,0.095,77,0.1,19435000,2
Tajikistan,0.029,49.0516561,2563,2076148710,13,0.058,0,0.203,69,0,6663929,0
Thailand,0.013,49.0516561,8529,1.6134E+11,87,0.016,0.1,0.055,76,0.4,5971526,1
Timor-Leste,0.038,49.0516561,176,455500000,27,0.069,0.1,0.155,64,0,966987,0
Turkmenistan,0.023,49.0516561,43337,6838351088,111,0.06,0,0.119,68,0,4696876,0
Uzbekistan,0.021,49.0516561,8529,12030023548,24,0.048,0,0.119,71,0,25864350,0
Vietnam,0.017,49.0516561,90549,49424107710,30,0.024,0.1,0.097,79,0.1,5971526,1
Albania,0.015,49.0516561,4166,7464446950,148,0.019,0,0.118,79,0.4,3014579,2
Andorra,0.011,49.0516561,565,2322163502,193,0.003,0.3,0.119,75,0.7,79060,2
Austria,0.01,49.0516561,71866,15493320082,193,0.004,0.5,0.119,82,1,8171966,1
Belarus,0.009,49.0516561,58038,23141587718,157,0.008,0.1,0.169,75,0.2,9730000,1
Belgium,0.011,49.0516561,8529,15493320082,193,0.004,0.5,0.067,82,0.9,10421137,2
Bosnia and Herzegovina,0.008,49.0516561,24617,10022840635,236,0.007,0.2,0.103,78,0.4,3886723,2
Bulgaria,0.009,49.0516561,46787,25283228366,238,0.015,0.2,0.089,76,0.6,7781161,1
Croatia,0.009,49.0516561,23047,41003558916,614,0.006,0.3,0.117,79,0.6,4439000,2
Cyprus,0.012,49.0516561,7334,15816972051,193,0.004,0.3,0.076,81,0.6,1015820,2
Czech Republic,0.01,49.0516561,8529,1.13977E+11,771,0.005,0.4,0.06,79,1.1,10197101,1
Denmark,0.012,49.0516561,50597,15493320082,193,0.004,0.8,0.119,80,1,5404523,1
Estonia,0.01,49.0516561,17217,12031396467,450,0.006,0.5,0.057,78,0.9,1362550,2
Faeroe Islands,0.02,49.0516561,796,1683997930,193,0.02,0.7,0.119,82,0.8,48782,2
Finland,0.011,49.0516561,67091,1.89065E+11,193,0.003,0.7,0.037,82,1,5228172,1
France,0.013,49.0516561,8529,15493320082,193,0.004,0.4,0.066,84,0.7,5971526,2
Germany,0.009,49.0516561,8529,15493320082,193,0.004,0.6,0.119,82,0.9,5971526,2
Greece,0.01,49.0516561,97150,15493320082,193,0.005,0.2,0.119,82,0.8,11055729,1
Hungary,0.009,49.0516561,57352,1.01926E+11,828,0.008,0.3,0.128,77,0.9,10107146,1
Iceland,0.015,49.0516561,2233,13251434311,193,0.003,0.8,0.12,83,1,292074,2
Ireland,0.015,49.0516561,43956,1.86281E+11,193,0.005,0.4,0.026,81,0.9,4070262,1
Isle of Man,0.02,49.0516561,8529,2758117365,193,0.02,0.1,0.119,75,0.5,79658,2
Italy,0.01,49.0516561,8529,15493320082,193,0.004,0.3,0.055,84,1.1,5971526,2
Latvia,0.009,49.0516561,7132,13761569545,387,0.012,0.4,0.074,77,0.7,2263122,2
Liechtenstein,0.011,49.0516561,8529,3454374261,193,0.02,0.6,0.119,85,0.7,34445,2
Lithuania,0.009,49.0516561,13330,22659294573,374,0.008,0.3,0.057,78,0.9,3377075,2
Luxembourg,0.012,49.0516561,11269,34077095478,193,0.003,0.7,0.119,82,1,458095,1
"Macedonia, FYR",0.012,49.0516561,11192,5514253043,230,0.012,0.2,0.124,77,0.5,2085728,2
Malta,0.01,49.0516561,2574,5643525282,1247,0.006,0.3,0.053,81,0.7,401268,2
Moldova,0.012,49.0516561,4554,2598231467,61,0.02,0.1,0.209,72,0.2,3603945,2
Monaco,0.02,49.0516561,8529,4110348444,193,0.004,0.5,0.119,75,0.5,33346,2
Montenegro,0.013,49.0516561,8529,2073255525,293,0.01,0.3,0.119,76,0.8,614670,2
Netherlands,0.012,49.0516561,8529,15493320082,193,0.005,0.7,0.028,81,0.9,16281779,2
Norway,0.012,49.0516561,42666,15493320082,193,0.003,0.8,0.04,82,1,4591910,1
Poland,0.009,49.0516561,8529,15493320082,410,0.007,0.3,0.076,79,0.6,38182222,1
Portugal,0.01,49.0516561,63175,1.85397E+11,193,0.004,0.3,0.119,81,1,10483861,1
Romania,0.01,49.0516561,95401,75794733525,190,0.02,0.2,0.119,75,0.5,21451748,1
Russian Federation,0.01,49.0516561,8529,15493320082,212,0.015,0.1,0.114,72,0.5,5971526,2
San Marino,0.01,49.0516561,8529,1317357835,193,0.004,0.5,0.071,85,0.6,29290,2
Serbia,0.011,49.0516561,8529,23649854234,204,0.008,0.2,0.155,75,0.5,7463157,2
Slovak Republic,0.01,49.0516561,38749,56073225726,565,0.009,0.5,0.091,78,0.8,5372280,1
Slovenia,0.009,49.0516561,15746,33837749815,193,0.004,0.4,0.087,81,0.9,1997012,2
Spain,0.011,49.0516561,8529,15493320082,193,0.005,0.4,0.119,83,0.9,42921895,2
Sweden,0.011,49.0516561,54521,15493320082,193,0.003,0.8,0.04,83,1,8993531,2
Switzerland,0.01,49.0516561,40392,15493320082,193,0.004,0.7,0.032,84,0.9,7389625,2
Turkey,0.02,49.0516561,8529,15493320082,297,0.027,0.1,0.119,76,0.5,5971526,2
